Flow_Name,LCA_Amount,LCA_Unit,Is_Input,Reference_Product,Flow_Type,Description
374 ppm REO Feed,1420741.1877343715,kg,True,False,Solid Input,
99.85% REO Product,1.0,kg,False,True,Solid Output,
Carbon Dioxide,0.928315025460611,kg,False,False,Emissions to air,
Cleaner Circuit Purge,388.4051217568309,m3,False,False,Wastewater,
DEHPA,758011.4356206433,kg,True,False,Chemicals,
Dust and Volatiles,0.07359133350119253,kg,False,False,Solid Waste,
Electricity,1628.458069346383,kWh,True,False,Electricity,
Filter Cake,1392959.217536076,kg,False,False,Solid Waste,
Heat,162993.03177372352,MJ,True,False,Heat,
Hydrochloric Acid,3754.3949359949647,kg,True,False,Chemicals,
Kerosene,636984.3996812128,kg,True,False,Chemicals,
Leach Filter Cake Liquid,16258.996771907725,m3,False,False,Wastewater,
Load Separator Purge,3895.7997698137638,m3,False,False,Wastewater,
Nitrogen,10.203827423380224,kg,False,False,Emissions to air,
Oxalic Acid,30344.363353322828,kg,True,False,Chemicals,
Oxygen,1.749970444298705,kg,False,False,Emissions to air,
Precipitate Purge,50.73506670263475,m3,False,False,Wastewater,
Rougher Circuit Purge,388.40512175683716,m3,False,False,Wastewater,
Scrub Separator Purge,563.7229633626021,m3,False,False,Wastewater,
Sodium Hydroxide,28124.875282993948,kg,True,False,Chemicals,
Sulfuric Acid,68841.22192699354,kg,True,False,Chemicals,
Water,16.5581472009805,kg,False,False,Emissions to air,
Water,20813.904525043854,m3,True,False,Water,
