Flow,Source,In/Out,Category,Value 1,Unit 1,Value 2,Unit 2,LCA Amount,LCA Unit
Inerts,Solid Feed,In,Solid Input,22.68,kg/hr,0.6952,mass fraction,15.767136,kg
Scandium Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,2.77966e-05,mass fraction,0.000630426888,kg
Yttrium Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,3.28653e-05,mass fraction,0.000745385004,kg
Lanthanum Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,6.77769e-05,mass fraction,0.001537180092,kg
Cerium Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,0.000156161,mass fraction,0.00354173148,kg
Praseodymium Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,1.71438e-05,mass fraction,0.000388821384,kg
Neodymium Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,6.76618e-05,mass fraction,0.001534569624,kg
Samarium Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,1.47926e-05,mass fraction,0.000335496168,kg
Gadolinium Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,1.0405e-05,mass fraction,0.0002359854,kg
Dysprosium Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,7.54827e-06,mass fraction,0.0001711947636,kg
Aluminum Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,0.237,mass fraction,5.375159999999999,kg
Calcium Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,0.00331,mass fraction,0.0750708,kg
Iron Oxide,Solid Feed,In,Solid Input,22.68,kg/hr,0.0642,mass fraction,1.4560559999999998,kg
Water,Liquid Feed,In,Water,224.3,L/hr,1e-10,mg/L,2.2430000000000002e-17,m3
Sulfuric Acid,Liquid Feed,In,Chemicals,224.3,L/hr,4900.0,mg/L,1.09907,kg
Kerosene,Rougher Organic Make-up,In,Chemicals,6.201000000000012,L/hr,820000.0,mg/L,5.08482000000001,kg
DEHPA,Rougher Organic Make-up,In,Chemicals,6.201000000000012,L/hr,975800.0,mg/L,6.050935800000012,kg
Kerosene,Cleaner Organic Make-up,In,Chemicals,6.200999999999994,L/hr,820000.0,mg/L,5.084819999999995,kg
DEHPA,Cleaner Organic Make-up,In,Chemicals,6.200999999999994,L/hr,975800.0,mg/L,6.050935799999994,kg
Water,Acid Feed 1,In,Water,90.0,L/hr,1000000.0,mg/L,0.09,m3
Hydrochloric Acid,Acid Feed 1,In,Chemicals,90.0,L/hr,370.0,mg/L,0.033299999999999996,kg
Water,Acid Feed 2,In,Water,9.0,L/hr,1000000.0,mg/L,0.009,m3
Hydrochloric Acid,Acid Feed 2,In,Chemicals,9.0,L/hr,1480.0,mg/L,0.01332,kg
Water,Acid Feed 3,In,Water,9.0,L/hr,1000000.0,mg/L,0.009,m3
Hydrochloric Acid,Acid Feed 3,In,Chemicals,9.0,L/hr,1480.0,mg/L,0.01332,kg
Sodium Hydroxide,Acid Leaching,In,Chemicals,0.44902176068376076,kg/hr,,,0.44902176068376076,kg
Oxalic Acid,Precipitation,In,Chemicals,0.484456529056166,kg/hr,,,0.484456529056166,kg
"Electricity, AC, 120 V",Leach Mixer,In,Electricity,0.02393979663041805,hp,,,0.017851903273008406,kWh
"Electricity, AC, 120 V",Rougher Mixer,In,Electricity,0.008963089797442153,hp,,,0.00668377491093297,kWh
"Electricity, AC, 120 V",Cleaner Mixer,In,Electricity,0.00023481081081852583,hp,,,0.00017509839147350346,kWh
"Electricity, AC, 120 V",Precipitator Mixer,In,Electricity,0.0017272727272739869,hp,,,0.0012880270509157696,kWh
Heat,Roaster,In,Heat,722.8417814886759,W,,,2.602230413359233,MJ
Heat,Solution Heater,In,Heat,0.0001212141601640636,W,,,4.363709765906289e-07,MJ
Yttrium Oxide,Roaster Product,Out,Solid Output,2.1744429930437775e-05,kg/hr,0.20079811092816968,mass fraction,4.3662404532418575e-06,kg
Lanthanum Oxide,Roaster Product,Out,Solid Output,2.1744429930437775e-05,kg/hr,0.01371075416192506,mass fraction,2.9813253316743757e-07,kg
Cerium Oxide,Roaster Product,Out,Solid Output,2.1744429930437775e-05,kg/hr,0.023770435101092037,mass fraction,5.168745604717144e-07,kg
Praseodymium Oxide,Roaster Product,Out,Solid Output,2.1744429930437775e-05,kg/hr,0.004484577117319001,mass fraction,9.751457289518764e-08,kg
Neodymium Oxide,Roaster Product,Out,Solid Output,2.1744429930437775e-05,kg/hr,0.01570127261680495,mass fraction,3.414152222348166e-07,kg
Samarium Oxide,Roaster Product,Out,Solid Output,2.1744429930437775e-05,kg/hr,0.018874386136540067,mass fraction,4.1041276682602167e-07,kg
Gadolinium Oxide,Roaster Product,Out,Solid Output,2.1744429930437775e-05,kg/hr,0.30490897263463185,mass fraction,6.630071790615521e-06,kg
Dysprosium Oxide,Roaster Product,Out,Solid Output,2.1744429930437775e-05,kg/hr,0.15197579632857328,mass fraction,3.304627054389144e-06,kg
Oxygen,Roaster Emissions,Out,Emissions to air,0.02169917569670234,mol/hr,0.040237461001572876,mole fraction,2.793878380391179e-05,kg
Water,Roaster Emissions,Out,Emissions to air,0.02169917569670234,mol/hr,0.6762453153281504,mole fraction,0.0002643556046039192,kg
Carbon dioxide,Roaster Emissions,Out,Emissions to air,0.02169917569670234,mol/hr,0.015519670351320921,mole fraction,1.482081762167168e-05,kg
Nitrogen,Roaster Emissions,Out,Emissions to air,0.02169917569670234,mol/hr,0.2679975533189559,mole fraction,0.00016290705324946569,kg
Filter Cake,Process,Out,Solid Waste,22.238996408880794,kg/hr,,,22.238996408880794,kg
Dust and Volatiles,Process,Out,Solid Waste,1.2951131693915627e-09,ton/hr,,,1.174906903845061e-06,kg
Precipitate Purge,Process,Out,Wastewater,0.8100000000000016,L/hr,,,0.8100000000000016,kg
Load Separator Purge,Process,Out,Wastewater,62.19756903138705,L/hr,,,62.19756903138705,kg
Scrub Separator Purge,Process,Out,Wastewater,8.999999999999995,L/hr,,,8.999999999999995,kg
Leach Filter Cake Liquid,Process,Out,Wastewater,259.57958156308746,L/hr,,,259.57958156308746,kg
Rougher Circuit Purge,Process,Out,Wastewater,6.200999999999998,L/hr,,,6.200999999999998,kg
Cleaner Circuit Purge,Process,Out,Wastewater,6.2009999999999845,L/hr,,,6.2009999999999845,kg
